datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-10 09:30:00,sz002912,中新赛克,19.98,19.98,19.98,19.98,40,79920,-0.6,0.0
2026-06-10 09:31:00,sz002912,中新赛克,19.85,20.08,20.11,19.85,396,793251,0.5,1.3
2026-06-10 09:32:00,sz002912,中新赛克,20.06,20.07,20.18,20.06,884,1778949,-0.05,0.6
2026-06-10 09:33:00,sz002912,中新赛克,20.13,20.13,20.16,20.11,209,420742,0.3,0.25
2026-06-10 09:34:00,sz002912,中新赛克,20.14,20.2,20.2,20.1,335,675389,0.35,0.5
2026-06-10 09:35:00,sz002912,中新赛克,20.22,20.24,20.27,20.21,340,687688,0.2,0.3
2026-06-10 09:36:00,sz002912,中新赛克,20.2,20.13,20.21,20.12,132,266472,-0.54,0.44
2026-06-10 09:37:00,sz002912,中新赛克,20.15,20.09,20.15,20.08,291,585234,-0.2,0.35
2026-06-10 09:38:00,sz002912,中新赛克,20.08,20.05,20.08,20.0,249,498683,-0.2,0.4
2026-06-10 09:39:00,sz002912,中新赛克,20.05,20.08,20.08,20.04,130,260753,0.15,0.2
2026-06-10 09:40:00,sz002912,中新赛克,20.07,20.1,20.11,20.04,255,512190,0.1,0.35
2026-06-10 09:41:00,sz002912,中新赛克,20.1,20.15,20.17,20.1,236,474939,0.25,0.35
2026-06-10 09:42:00,sz002912,中新赛克,20.15,20.15,20.17,20.15,105,211589,0.0,0.1
2026-06-10 09:43:00,sz002912,中新赛克,20.15,20.08,20.17,20.08,166,334135,-0.35,0.45
2026-06-10 09:44:00,sz002912,中新赛克,20.09,20.08,20.12,20.06,107,214893,0.0,0.3
2026-06-10 09:45:00,sz002912,中新赛克,20.09,20.06,20.13,20.04,144,289310,-0.1,0.45
2026-06-10 09:46:00,sz002912,中新赛克,20.04,20.06,20.1,20.02,125,250607,0.0,0.4
2026-06-10 09:47:00,sz002912,中新赛克,20.06,20.08,20.1,20.06,110,220808,0.1,0.2
2026-06-10 09:48:00,sz002912,中新赛克,20.09,20.06,20.09,20.05,133,266864,-0.1,0.2
2026-06-10 09:49:00,sz002912,中新赛克,20.06,20.11,20.11,20.03,83,166659,0.25,0.4
2026-06-10 09:50:00,sz002912,中新赛克,20.11,20.16,20.16,20.11,86,173155,0.25,0.25
2026-06-10 09:51:00,sz002912,中新赛克,20.14,20.14,20.17,20.14,64,129005,-0.1,0.15
2026-06-10 09:52:00,sz002912,中新赛克,20.12,20.14,20.14,20.12,213,429097,0.0,0.1
2026-06-10 09:53:00,sz002912,中新赛克,20.14,20.11,20.15,20.11,75,150991,-0.15,0.2
2026-06-10 09:54:00,sz002912,中新赛克,20.1,20.07,20.1,20.07,75,150744,-0.2,0.15
2026-06-10 09:55:00,sz002912,中新赛克,20.05,20.05,20.06,20.05,27,54159,-0.1,0.05
2026-06-10 09:56:00,sz002912,中新赛克,20.05,20.06,20.06,20.05,27,54141,0.05,0.05
2026-06-10 09:57:00,sz002912,中新赛克,20.06,20.04,20.07,20.01,138,276461,-0.1,0.3
2026-06-10 09:58:00,sz002912,中新赛克,20.01,20.0,20.04,20.0,93,186223,-0.2,0.2
2026-06-10 09:59:00,sz002912,中新赛克,20.0,20.0,20.01,19.99,203,406005,0.0,0.1
2026-06-10 10:00:00,sz002912,中新赛克,20.01,20.0,20.01,20.0,149,298120,0.0,0.05
2026-06-10 10:01:00,sz002912,中新赛克,19.98,19.95,19.98,19.95,131,261434,-0.25,0.15
2026-06-10 10:02:00,sz002912,中新赛克,19.95,19.95,19.95,19.92,86,171414,0.0,0.15
2026-06-10 10:03:00,sz002912,中新赛克,19.91,19.95,19.95,19.91,101,201165,0.0,0.2
2026-06-10 10:04:00,sz002912,中新赛克,19.95,19.93,20.0,19.93,224,446836,-0.1,0.35
2026-06-10 10:05:00,sz002912,中新赛克,19.92,19.89,19.92,19.88,76,151275,-0.2,0.2
2026-06-10 10:06:00,sz002912,中新赛克,19.88,19.89,19.9,19.87,55,109340,0.0,0.15
2026-06-10 10:07:00,sz002912,中新赛克,19.88,19.89,19.89,19.88,50,99419,0.0,0.05
2026-06-10 10:08:00,sz002912,中新赛克,19.88,19.85,19.9,19.85,278,552376,-0.2,0.25
2026-06-10 10:09:00,sz002912,中新赛克,19.86,19.84,19.86,19.84,45,89306,-0.05,0.1
