datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-07-02 09:30:00,sh688382,益方生物,20.77,20.77,20.77,20.77,2763,5738751,1.56,0.0
2026-07-02 09:31:00,sh688382,益方生物,21.0,21.22,21.22,20.7,11019,23051589,2.17,2.5
2026-07-02 09:32:00,sh688382,益方生物,21.28,21.94,21.98,21.28,12564,27225986,3.39,3.3
2026-07-02 09:33:00,sh688382,益方生物,21.96,22.22,22.28,21.96,11365,25063052,1.28,1.46
2026-07-02 09:34:00,sh688382,益方生物,22.22,21.92,22.39,21.81,13776,30432632,-1.35,2.61
2026-07-02 09:35:00,sh688382,益方生物,21.94,22.14,22.14,21.92,11644,25690904,1.0,1.0
2026-07-02 09:36:00,sh688382,益方生物,22.0,22.25,22.28,22.0,10442,23133870,0.5,1.26
2026-07-02 09:37:00,sh688382,益方生物,22.12,21.91,22.17,21.91,8354,18462580,-1.53,1.17
2026-07-02 09:38:00,sh688382,益方生物,21.86,21.56,21.9,21.55,9422,20440406,-1.6,1.6
2026-07-02 09:39:00,sh688382,益方生物,21.56,21.6,21.8,21.56,3578,7743226,0.19,1.11
2026-07-02 09:40:00,sh688382,益方生物,21.58,21.78,21.78,21.58,3435,7435749,0.83,0.93
2026-07-02 09:41:00,sh688382,益方生物,21.68,21.58,21.78,21.56,3091,6704484,-0.92,1.01
2026-07-02 09:42:00,sh688382,益方生物,21.5,21.54,21.58,21.47,3239,6968188,-0.19,0.51
2026-07-02 09:43:00,sh688382,益方生物,21.54,21.55,21.8,21.53,4807,10425278,0.05,1.25
2026-07-02 09:44:00,sh688382,益方生物,21.59,21.41,21.63,21.41,4849,10462993,-0.65,1.02
2026-07-02 09:45:00,sh688382,益方生物,21.41,21.49,21.49,21.35,2703,5784782,0.37,0.65
2026-07-02 09:46:00,sh688382,益方生物,21.44,21.77,21.8,21.44,7078,15317312,1.3,1.68
2026-07-02 09:47:00,sh688382,益方生物,21.75,21.85,21.88,21.72,4990,10883545,0.37,0.73
2026-07-02 09:48:00,sh688382,益方生物,21.83,21.59,21.87,21.48,2207,4796530,-1.19,1.78
2026-07-02 09:49:00,sh688382,益方生物,21.55,21.54,21.65,21.5,2030,4371121,-0.23,0.69
2026-07-02 09:50:00,sh688382,益方生物,21.56,21.52,21.61,21.52,2017,4351007,-0.09,0.42
